customer_id,tenure,num_transactions_last_month,avg_transaction_value,last_login_days_ago,late_payments,support_tickets_opened,churn
1,45,6,1230.0,23,2,1,1
2,48,2,1429.43,20,2,0,0
3,54,7,676.98,22,3,3,1
4,1,5,1657.02,28,2,1,0
5,4,3,1214.64,18,3,4,1
6,4,5,1371.07,14,1,3,0
7,40,4,1472.17,11,1,2,0
8,10,5,1589.6,25,0,0,0
9,20,4,696.2,13,0,0,0
10,22,3,1295.51,4,1,1,0
11,51,4,1314.37,12,0,2,0
12,37,4,553.86,10,0,0,0
13,24,4,1183.47,24,0,1,0
14,7,3,1784.46,6,1,2,0
15,25,5,1295.79,25,1,1,1
16,25,4,809.26,22,1,0,1
17,13,6,1888.5,16,2,0,0
18,59,5,1000.18,24,1,3,1
19,2,6,1708.39,23,1,0,0
20,39,6,1249.63,21,0,0,0
21,40,5,1046.91,14,0,2,0
22,24,8,1586.72,24,0,1,0
23,47,5,1341.76,16,0,0,0
24,25,6,1035.26,26,1,1,0
25,18,7,1655.24,21,1,2,0
26,38,7,903.23,27,2,1,0
27,26,3,1490.01,5,1,2,0
28,14,7,815.14,12,1,1,0
29,9,3,751.33,10,1,2,0
30,10,4,1268.41,5,0,0,0
31,21,7,1121.3,1,0,1,0
32,52,9,1538.88,14,1,0,0
33,17,5,1041.05,29,2,3,0
34,52,5,1092.67,7,3,0,1
35,6,2,1279.51,5,0,1,0
36,16,3,1281.39,15,3,0,1
37,48,4,1054.24,26,2,1,0
38,1,4,1355.57,26,0,1,0
39,19,4,812.87,10,2,4,0
40,36,9,1419.76,4,1,0,0
41,25,4,1464.39,7,0,1,0
42,50,4,957.67,19,0,0,1
43,52,3,1289.55,27,2,2,1
44,30,6,1601.8,22,1,0,0
45,20,2,1248.54,4,2,0,0
46,20,5,1307.53,8,0,1,0
47,15,4,949.54,18,1,0,0
48,40,3,1085.94,13,1,2,0
49,33,4,1455.7,21,0,3,1
50,2,4,2009.79,13,0,2,0
51,10,8,577.1,4,1,2,0
52,58,5,1468.56,9,2,2,0
53,33,4,1108.61,2,1,1,0
54,32,3,1687.15,13,0,2,0
55,11,9,1098.44,2,1,2,0
56,53,5,1380.19,1,0,1,0
57,24,3,893.55,10,2,1,0
58,36,4,453.31,5,2,1,0
59,12,6,1337.4,27,2,0,0
60,51,7,1085.87,11,0,2,0
61,56,6,1121.02,18,0,2,0
62,29,6,1087.71,29,0,0,0
63,35,5,735.43,27,1,1,1
64,1,6,1188.26,17,0,0,0
65,1,2,769.1,12,2,3,1
66,37,11,1318.57,7,1,1,0
67,54,3,1147.16,11,1,0,0
68,6,7,1266.3,2,1,1,0
69,39,5,1451.64,4,2,0,0
70,41,5,1175.59,10,0,1,0
71,53,5,1269.82,25,1,1,0
72,18,4,1487.65,21,1,3,1
73,16,6,1134.56,11,2,0,0
74,5,5,862.18,7,1,0,0
75,42,7,680.64,19,2,1,0
76,43,6,746.72,28,0,0,0
77,59,2,1133.97,28,4,1,1
78,32,8,1195.36,15,1,0,0
79,57,4,890.14,4,0,1,0
80,2,3,1511.77,7,1,0,0
81,2,5,822.31,7,0,3,0
82,40,1,1243.85,3,2,1,0
83,42,10,1424.21,13,1,2,0
84,58,3,1506.31,26,0,0,0
85,36,5,1204.9,28,1,0,0
86,39,4,1586.37,17,0,2,0
87,56,3,1366.86,13,0,0,0
88,12,5,1002.88,2,0,1,0
89,47,4,548.42,28,0,1,0
90,19,3,1451.52,2,1,0,0
91,28,5,856.44,11,2,0,0
92,1,7,1808.59,16,0,0,0
93,15,1,893.29,8,0,1,0
94,36,7,1321.7,27,0,2,1
95,54,6,1195.87,4,2,1,0
96,13,3,845.75,8,0,0,0
97,58,9,1787.13,17,2,1,1
98,43,2,911.13,10,1,1,0
99,21,7,1002.19,28,2,2,0
100,12,7,1056.51,23,2,1,0
101,5,5,1822.1,12,0,0,0
102,7,7,1296.13,6,0,2,0
103,5,4,1303.36,14,2,1,0
104,48,7,1505.22,7,2,0,0
105,53,7,1380.49,16,1,1,1
106,4,7,163.24,28,0,1,0
107,13,7,1291.46,24,0,0,1
108,37,2,1333.36,3,0,0,0
109,53,4,1091.22,9,1,2,0
110,41,7,1466.7,16,1,3,1
111,15,5,1615.25,2,0,0,0
112,16,6,1126.27,9,2,1,0
113,21,7,1174.49,4,1,1,0
114,36,6,1076.68,12,0,2,0
115,59,8,1400.36,1,1,2,0
116,24,4,708.44,20,1,1,0
117,16,4,1274.52,10,1,0,0
118,14,2,1280.57,19,0,0,1
119,54,7,679.98,11,0,1,0
120,22,5,1098.43,1,1,1,0
121,49,7,1168.58,2,0,0,0
122,50,5,1374.1,26,1,3,1
123,6,4,1033.38,11,2,1,0
124,42,3,1347.67,12,2,0,0
125,36,2,1687.8,16,1,2,0
126,1,5,1485.6,5,2,0,0
127,32,8,1623.84,23,1,0,1
128,6,6,1057.39,10,1,3,1
129,31,2,1283.86,28,1,1,0
130,1,7,1681.36,24,1,3,0
131,50,4,1241.66,16,1,0,0
132,51,6,1043.89,28,1,1,0
133,37,4,952.12,8,2,2,0
134,35,6,1015.14,3,0,3,1
135,49,6,1268.73,29,0,2,0
136,30,4,1665.73,20,1,0,0
137,4,4,1377.37,14,1,0,0
138,35,3,1168.99,25,2,1,0
139,43,4,1073.97,5,1,1,0
140,14,5,1075.22,27,1,1,0
141,49,5,1281.36,29,1,2,1
142,40,6,1124.02,2,1,1,0
143,22,6,943.43,20,1,1,0
144,10,7,896.8,15,1,3,0
145,1,4,1066.95,26,1,2,0
146,11,3,1403.14,1,2,3,0
147,51,4,1814.06,29,1,1,0
148,44,2,1900.75,22,0,0,1
149,59,3,711.61,29,0,1,0
150,24,5,1048.19,20,0,1,0
151,3,10,1620.39,25,1,2,0
152,58,3,871.2,23,1,0,0
153,35,3,1037.29,28,1,0,1
154,36,3,951.21,7,2,0,0
155,31,3,1143.12,29,0,0,0
156,4,2,1505.47,8,2,1,0
157,19,4,1265.96,13,0,1,0
158,47,5,1257.88,22,1,0,0
159,36,7,1540.21,9,0,1,0
160,21,5,1129.33,1,1,1,0
161,18,6,1459.84,12,2,1,0
162,51,4,1289.26,24,1,0,0
163,28,6,942.14,1,1,2,0
164,15,5,1455.71,28,2,3,0
165,42,2,1445.75,17,2,3,0
166,59,4,1177.91,16,1,1,0
167,2,5,1428.02,10,1,2,0
168,37,6,1363.1,5,0,0,0
169,11,10,1083.76,14,1,2,0
170,23,4,1089.49,15,0,0,0
171,44,3,438.07,12,1,1,0
172,41,3,1022.6,24,0,1,0
173,12,4,1452.77,28,1,3,1
174,3,2,1348.28,6,2,1,0
175,52,2,1556.15,11,0,1,0
176,17,3,1641.01,8,0,1,0
177,33,2,1369.22,16,0,0,0
178,55,3,1125.53,5,3,1,0
179,1,9,1325.36,8,2,2,0
180,39,10,1126.11,3,0,0,0
181,20,6,1431.94,21,1,1,1
182,47,5,1114.81,29,0,1,1
183,43,5,1100.16,15,0,0,0
184,52,6,1476.28,12,2,0,0
185,57,5,1149.61,27,0,0,0
186,41,4,1184.58,26,1,0,1
187,14,2,1324.16,27,1,1,1
188,31,7,2328.44,1,1,3,0
189,25,3,898.99,25,1,2,0
190,3,5,1379.32,7,0,0,0
191,4,6,1363.76,15,0,1,0
192,31,6,1024.13,7,0,1,0
193,35,4,1277.19,7,0,3,0
194,44,4,1363.49,9,2,1,0
195,14,4,1575.21,16,1,0,0
196,49,0,1167.34,6,0,1,0
197,41,6,1644.38,2,3,2,1
198,9,6,1434.57,22,2,0,0
199,20,5,545.33,21,0,3,0
200,32,9,1107.86,12,0,1,0
201,9,2,1299.43,17,1,3,1
202,27,5,1754.85,28,4,2,0
203,3,4,1400.76,5,0,2,0
204,57,2,1283.81,23,3,2,1
205,53,5,997.66,19,0,0,0
206,4,5,1578.8,29,0,1,0
207,45,5,987.18,21,1,1,0
208,15,2,921.68,18,2,4,0
209,33,4,1360.16,24,2,0,0
210,5,6,1027.21,5,1,1,0
211,4,5,1430.03,9,1,3,1
212,46,3,1019.71,29,1,1,0
213,12,1,1076.21,18,0,1,0
214,23,7,1296.25,15,1,0,0
215,14,4,979.54,8,1,0,0
216,58,4,1083.67,13,1,1,0
217,46,1,1669.79,1,2,1,0
218,12,5,1032.57,13,2,1,0
219,57,5,1782.21,12,2,1,0
220,17,3,1204.49,4,1,1,0
221,25,2,1424.17,26,1,2,0
222,30,3,1756.68,4,1,0,0
223,22,3,839.44,9,1,2,0
224,47,6,1104.59,26,0,0,0
225,26,3,905.61,7,2,0,0
226,17,8,1042.12,23,1,2,0
227,58,8,560.4,25,1,1,0
228,55,6,1691.81,23,1,0,1
229,54,2,1077.38,22,0,2,1
230,20,3,1292.49,9,0,0,0
231,34,2,1511.93,11,1,0,0
232,41,1,1195.66,22,2,1,0
233,33,4,1160.84,24,0,2,0
234,37,5,1531.48,18,0,3,1
235,58,8,1658.26,25,0,0,0
236,7,7,1472.98,18,1,1,0
237,22,5,899.23,28,2,1,1
